kickoff_date_utc,home_away,opponent,wrexham_score,opponent_score,wrexham_half_score,opponent_half_score,penalty_score,match_minutes,match_period,formatted_matchtime,resultType,postponement_reason,matchWinner
2024-08-10 16:30:00,home,Wycombe Wanderers,3.0,2.0,2.0,0.0,,95.0,FullTime,90' +5',NormalResult,,Wrexham
2024-08-18 14:00:00,away,Bolton Wanderers,0.0,0.0,0.0,0.0,,94.0,FullTime,90' +4',NormalResult,,
2024-08-24 14:00:00,home,Reading,3.0,0.0,2.0,0.0,,97.0,FullTime,90' +7',NormalResult,,Wrexham
2024-08-31 14:00:00,away,Peterborough United,2.0,0.0,2.0,0.0,,96.0,FullTime,90' +6',NormalResult,,Wrexham
2024-09-07 14:00:00,home,Shrewsbury Town,3.0,0.0,2.0,0.0,,95.0,FullTime,90' +5',NormalResult,,Wrexham
2024-09-16 19:00:00,away,Birmingham City,1.0,3.0,1.0,1.0,,98.0,FullTime,90' +8',NormalResult,,Birmingham City
2024-09-21 14:00:00,home,Crawley Town,2.0,1.0,1.0,0.0,,97.0,FullTime,90' +7',NormalResult,,Wrexham
2024-09-28 14:00:00,away,Leyton Orient,0.0,0.0,0.0,0.0,,97.0,FullTime,90' +7',NormalResult,,
2024-10-01 18:45:00,away,Stevenage,0.0,1.0,0.0,1.0,,96.0,FullTime,90' +6',NormalResult,,Stevenage
2024-10-05 14:00:00,home,Northampton Town,4.0,1.0,2.0,1.0,,95.0,FullTime,90' +5',NormalResult,,Wrexham
2024-10-12 14:00:00,home,Lincoln City,,,,,,,Postponed,,,International call-ups,
2024-10-19 14:00:00,away,Rotherham United,1.0,0.0,1.0,0.0,,96.0,FullTime,90' +6',NormalResult,,Wrexham
2024-10-22 18:45:00,home,Huddersfield Town,0.0,0.0,0.0,0.0,,94.0,FullTime,90' +4',NormalResult,,
