rk,squad,mp,w,d,l,gd,pts,season,fetched_date,week_no
1,Liverpool,23,17,5,1,35,56,2025-2026,2025-02-04,6
2,Arsenal,24,14,8,2,27,50,2025-2026,2025-02-04,6
3,Nottingham Forest,24,14,5,5,13,47,2025-2026,2025-02-04,6
4,Chelsea,24,12,7,5,16,43,2025-2026,2025-02-04,6
5,Manchester City,24,12,5,7,13,41,2025-2026,2025-02-04,6
6,Newcastle United,24,12,5,7,13,41,2025-2026,2025-02-04,6
7,Bournemouth,24,11,7,6,13,40,2025-2026,2025-02-04,6
8,Aston Villa,24,10,7,7,-3,37,2025-2026,2025-02-04,6
9,Fulham,24,9,9,6,4,36,2025-2026,2025-02-04,6
10,Brighton,24,8,10,6,-3,34,2025-2026,2025-02-04,6
11,Brentford,24,9,4,11,0,31,2025-2026,2025-02-04,6
12,Crystal Palace,24,7,9,8,-2,30,2025-2026,2025-02-04,6
13,Manchester United,24,8,5,11,-6,29,2025-2026,2025-02-04,6
14,Tottenham,24,8,3,13,11,27,2025-2026,2025-02-04,6
15,West Ham,24,7,6,11,-17,27,2025-2026,2025-02-04,6
16,Everton,23,6,8,9,-5,26,2025-2026,2025-02-04,6
17,Wolves,24,5,4,15,-18,19,2025-2026,2025-02-04,6
18,Leicester City,24,4,5,15,-28,17,2025-2026,2025-02-04,6
19,Ipswich Town,24,3,7,14,-27,16,2025-2026,2025-02-04,6
20,Southampton,24,2,3,19,-36,9,2025-2026,2025-02-04,6
